excercise,category
Pec Deck Fly,Strength
Pec Deck Real Delt Extensions,Strength
Preacher Barbell Curl,Strength
Preacher Cable Curl,Strength
Preacher Dumbbell Curl,Strength
Preacher EZ-Bar Curl,Strength
Preacher Hammer Dumbbell Curl,Strength
Preacher Single-Arm Dumbbell Curl,Strength
Pull-Up,Strength
Push-Up,Strength
Quadruped Alternating Superman,Strength
Reverse Cable Chop,Strength
Reverse Crunch,Strength
Reverse Curl,Strength
Reverse Incline Dumbbell Rear Delt Raise,Strength
Reverse Incline Dumbbell Row,Strength
Reverse Lunge,Strength
Reverse Medicine Ball Crunch,Strength
Reverse Tricep Pushdown,Strength
Reverse-Grip Lat Pullown,Strength
Reverse-Grip Pull-Up,Strength
Rope Cable Curl,Strength
Rope Cable Row,Strength
Rope Triceps Pushdown,Strength
Rowing Ergometer,Cardio
Run,Cardio
Seated Alternating Curl,Strength
Seated Alternating Hammer Curl,Strength
Seated Cable Row,Strength
Seated Calf Raise,Strength
Seated Dumbbell Curl,Strength
Seated Dumbbell Rear Delt Elbow Raise,Strength
Seated Dumbbell Rear Delt Raise,Strength
Seated Hammer Curl,Strength
Seated Leg Curl,Strength
Seated Medicine Ball Twist,Strength
Seated Row,Strength
Seated Single-Leg Calf Raise,Strength
Side-Plank (from knees),Strength
Side-Plank (from toes),Strength
Side-Plank (hip lift),Strength
Single-Arm Barbell Curl,Strength
Single-Arm Barbell Side Squat,Strength
Single-Arm Cable Curl,Strength
Single-Arm Cable Lateral Raise,Strength
Single-Arm Cable Row,Strength
Single-Arm Dumbbell Bench Press,Strength
Single-Arm Dumbbell Curl w/ Incline Bench,Strength
Single-Arm Dumbbell Row,Strength
Single-Arm Dumbbell Shoulder Press,Strength
Single-Arm Dumbbell Side Squat,Strength
Single-Arm Lat Pulldown,Strength
Single-Arm Towel Triceps Pushdown,Strength
Single-Arm Triceps Pushdown,Strength
Single-Leg Barbell Squat,Strength
Single-Leg Box Squat,Strength
Single-Leg Calf Press,Strength
Single-Leg Dumbbell Box Squat,Strength
Single-Leg Dumbbell Calf Raise,Strength
Single-Leg Dumbbell Squat,Strength
Single-Leg Extension,Strength
Single-Leg Hip Lift,Strength
Single-Leg Squat,Strength
Sit-Up,Strength
Smith Machine Bench Press,Strength
Smith Machine Calf Raise,Strength
Smith Machine Shoulder Press,Strength
Smith Machine Squat,Strength
Spider Curl,Strength
Split Squat,Strength
Standing Cable Row,Strength
Standing Single-Arm Cable Row,Strength
Step-Up,Strength
Superman,Strength
Superman Hold,Strength
Towel Triceps Pushdown,Strength
Tricep Extensions,Strength
Tricep Pushdown,Strength
Tricep Pushdown,Strength
Trunk Rotator,Strength
Twisting Dumbbell Bench Press,Strength
V-Bar Pull-Up,Strength
V-Bar Tricep Pushdown,Strength
V-Up,Strength
Walking Lunge,Strength
Weighted Crunch,Strength
Weighted V-Up,Strength
Wide-Grip Lat Pulldown,Strength
Wide-Grip Push-Up,Strength
